album,lyric
Fearless (Taylor’s Version),"That's when, when I see your face"
Fearless (Taylor’s Version),"I'll let you in, and baby, that's when"
Fearless (Taylor’s Version),"Mm, mm"
Fearless (Taylor’s Version),"I said, ""I know"""
Fearless (Taylor’s Version),"When you said, ""I did you wrong"
Fearless (Taylor’s Version),Made mistakes
Fearless (Taylor’s Version),"And put you through all of this"" (through all of this)"
Fearless (Taylor’s Version),Then through the phone
Fearless (Taylor’s Version),Came all your tears
Fearless (Taylor’s Version),"And I said, ""Leave those all in our past"""
Fearless (Taylor’s Version),"And you said, ""When can I-I-I come back?"""
Fearless (Taylor’s Version),"And I said, that's when"
Fearless (Taylor’s Version),When I wake up in the morning
Fearless (Taylor’s Version),"That's when, when it's sunny or storming"
Fearless (Taylor’s Version),"Laughing, when I'm crying"
Fearless (Taylor’s Version),And that's when I'll be waiting at the front gate
Fearless (Taylor’s Version),"That's when, when I see your face"
Fearless (Taylor’s Version),"I'll let you in, and baby, that's when"""
Fearless (Taylor’s Version),"And you said, ""Honestly"
Fearless (Taylor’s Version),When you were gone
Fearless (Taylor’s Version),"Did you ever think of me?"""
Fearless (Taylor’s Version),And I said
Fearless (Taylor’s Version),"""That's when, when I woke up in the morning"
Fearless (Taylor’s Version),"That's when, it was sunny or storming"
Fearless (Taylor’s Version),Laughing when I was crying
Fearless (Taylor’s Version),"And that's when, you were waiting at the front gate"
Fearless (Taylor’s Version),"That's when, when I saw your face"
Fearless (Taylor’s Version),"You let me in, and baby, that's when"""
Fearless (Taylor’s Version),"That's when, when I wake up in the morning (Yeah)"
Fearless (Taylor’s Version),"That's when, when it's sunny or storming"
Fearless (Taylor’s Version),"When I'm laughing, when I'm crying"
Fearless (Taylor’s Version),That's when I'll be waiting at the front gate
Fearless (Taylor’s Version),"(That when I miss you, that's when I want you)"
Fearless (Taylor’s Version),"That's when, when I see your face"
Fearless (Taylor’s Version),"That's when I love you, that's when"
Fearless (Taylor’s Version),"Hey, I knew I'd run into you somewhere"
Fearless (Taylor’s Version),"It's been a while, I didn't mean to stare"
Fearless (Taylor’s Version),I heard she's nothin' like me
Fearless (Taylor’s Version),I'm sure she'll make you happy
Fearless (Taylor’s Version),"But don't you, don't you"
Fearless (Taylor’s Version),Smile at me and ask me how I've been
Fearless (Taylor’s Version),Don't you say you've
Fearless (Taylor’s Version),Missed me if you don't want me again
Fearless (Taylor’s Version),You don't know how much I feel I love you still
Fearless (Taylor’s Version),"So why don't you, don't you?"
Fearless (Taylor’s Version),"Ah, ah, ah, ah"
Fearless (Taylor’s Version),"Ah, ah, ah"
Fearless (Taylor’s Version),"Sometimes, I really wish that I could hate you"
Fearless (Taylor’s Version),"I've tried, but that's just somethin' I can't do"
Fearless (Taylor’s Version),My heart knows what the truth is
Fearless (Taylor’s Version),I swore I wouldn't do this
Fearless (Taylor’s Version),"But don't you, don't you"
Fearless (Taylor’s Version),Smile at me and ask me how I've been
Fearless (Taylor’s Version),Don't you say you've
Fearless (Taylor’s Version),Missed me if you don't want me again
Fearless (Taylor’s Version),You don't know how much I feel I love you still
Fearless (Taylor’s Version),"So why don't you, don't you?"
Fearless (Taylor’s Version),So I walk outta here tonight
Fearless (Taylor’s Version),Try to go on with my life
Fearless (Taylor’s Version),And you can say we're still friends
Fearless (Taylor’s Version),(But I don't wanna pretend)
Fearless (Taylor’s Version),So if I see you again
Fearless (Taylor’s Version),"Don't you (Don't you), don't you"
Fearless (Taylor’s Version),Smile at me and ask me how I've been
Fearless (Taylor’s Version),Don't you (Don't you) say you've
Fearless (Taylor’s Version),Missed me if you don't want me again
Fearless (Taylor’s Version),You don't (You don't) know how much I feel I love you still
Fearless (Taylor’s Version),"So why don't you, don't you?"
Fearless (Taylor’s Version),"Ah, ah, ah, ah"
Fearless (Taylor’s Version),"Don't you (Ah, ah, ah)"
Fearless (Taylor’s Version),It wasn't just like a movie
Fearless (Taylor’s Version),"The rain didn't soak through my clothes, down to my skin"
Fearless (Taylor’s Version),"I'm drivin' away and I, I guess you could say"
Fearless (Taylor’s Version),This is the last time I'll drive this way again
Fearless (Taylor’s Version),Lost in the gray and I try to grab at the fray
Fearless (Taylor’s Version),"'Cause I, I still love you but I can't"
Fearless (Taylor’s Version),Bye bye to everything I thought was on my side
Fearless (Taylor’s Version),Bye bye baby
Fearless (Taylor’s Version),I want you bad but it's come down to nothing
Fearless (Taylor’s Version),And all I have is your sympathy
Fearless (Taylor’s Version),'Cause you took me home but you just couldn't keep me
Fearless (Taylor’s Version),Bye bye baby
Fearless (Taylor’s Version),Bye bye baby
Fearless (Taylor’s Version),The picture frame is empty
Fearless (Taylor’s Version),"On the dresser, vacant just like me"
Fearless (Taylor’s Version),I see your writing on the dash
Fearless (Taylor’s Version),Then back to your hesitation
Fearless (Taylor’s Version),I was so sure of everything
Fearless (Taylor’s Version),Everything I thought we'd always have
Fearless (Taylor’s Version),Guess I never doubted it
Fearless (Taylor’s Version),Then the here and the now floods in
Fearless (Taylor’s Version),Feels like I'm becoming a part of your past
Fearless (Taylor’s Version),Bye bye to everything I thought was on my side
Fearless (Taylor’s Version),Bye bye baby
Fearless (Taylor’s Version),I want you bad but it's come down to nothing
Fearless (Taylor’s Version),And all I have is your sympathy
Fearless (Taylor’s Version),'Cause you took me home but you just couldn't keep me
Fearless (Taylor’s Version),Bye bye baby
Fearless (Taylor’s Version),And there's so much that I can't touch
Fearless (Taylor’s Version),You're all I want but it's not enough this time
Fearless (Taylor’s Version),And all the pages are just slipping through my hands
Fearless (Taylor’s Version),And I'm so scared of how this ends
Fearless (Taylor’s Version),Bye bye to everything I thought was on my side
Fearless (Taylor’s Version),Bye bye baby
Fearless (Taylor’s Version),I want you bad but it's come down to nothing
Fearless (Taylor’s Version),And all I have is your sympathy
Fearless (Taylor’s Version),'Cause you took me home but you just couldn't keep me
Fearless (Taylor’s Version),Bye bye to everything I thought was on my side
Fearless (Taylor’s Version),Bye bye baby
Fearless (Taylor’s Version),I want you bad but it's come down to nothing
Fearless (Taylor’s Version),And all I have is your sympathy
Fearless (Taylor’s Version),'Cause you took me home but you just couldn't keep me
Fearless (Taylor’s Version),"Oh, you took me home, I thought you were gonna keep me"
Fearless (Taylor’s Version),Bye bye baby
Fearless (Taylor’s Version),Bye bye baby
Speak Now (Deluxe),"You were in college, working part-time, waiting tables"
Speak Now (Deluxe),Left a small town and never looked back
Speak Now (Deluxe),"I was a flight risk, with a fear of falling"
Speak Now (Deluxe),"Wondering why we bother with love, if it never lasts"
Speak Now (Deluxe),"I say, ""Can you believe it?"""
Speak Now (Deluxe),As we're lying on the couch
Speak Now (Deluxe),"The moment, I could see it"
Speak Now (Deluxe),"Yes, yes, I can see it now"
Speak Now (Deluxe),"Do you remember, we were sitting there, by the water?"
Speak Now (Deluxe),You put your arm around me for the first time
Speak Now (Deluxe),You made a rebel of a careless man's careful daughter
Speak Now (Deluxe),You are the best thing that's ever been mine
Speak Now (Deluxe),"Flash forward, and we're taking on the world together"
Speak Now (Deluxe),And there's a drawer of my things at your place
Speak Now (Deluxe),You learn my secrets and you figure out why I'm guarded
Speak Now (Deluxe),You say we'll never make my parents' mistakes
Speak Now (Deluxe),But we got bills to pay
Speak Now (Deluxe),We got nothing figured out
Speak Now (Deluxe),When it was hard to take
Speak Now (Deluxe),"Yes, yes"
Speak Now (Deluxe),This is what I thought about:
Speak Now (Deluxe),"Do you remember, we were sitting there, by the water?"
Speak Now (Deluxe),You put your arm around me for the first time
Speak Now (Deluxe),You made a rebel of a careless man's careful daughter
Speak Now (Deluxe),You are the best thing that's ever been mine
Speak Now (Deluxe),Do you remember all the city lights on the water?
Speak Now (Deluxe),You saw me start to believe for the first time
Speak Now (Deluxe),You made a rebel of a careless man's careful daughter
Speak Now (Deluxe),You are the best thing that's ever been mine
Speak Now (Deluxe),"And I remember that fight, 2:30 AM"
Speak Now (Deluxe),As everything was slipping right out of our hands
Speak Now (Deluxe),"I ran out, crying, and you followed me out into the street"
Speak Now (Deluxe),Braced myself for the goodbye
Speak Now (Deluxe),'Cause that's all I've ever known
Speak Now (Deluxe),"Then, you took me by surprise"
Speak Now (Deluxe),"You said, ""I'll never leave you alone."""
Speak Now (Deluxe),"You said, ""I remember how we felt, sitting by the water"
Speak Now (Deluxe),"And every time I look at you, it's like the first time"
Speak Now (Deluxe),I fell in love with a careless man's careful daughter
Speak Now (Deluxe),"She is the best thing that's ever been mine"""
Speak Now (Deluxe),"Hold on, make it last"
Speak Now (Deluxe),"Hold on, never turn back"
Speak Now (Deluxe),You made a rebel of a careless man's careful daughter
Speak Now (Deluxe),You are the best thing that's ever been mine
Speak Now (Deluxe),"Yeah, yeah"
Speak Now (Deluxe),Do you believe it? (Hold on)
Speak Now (Deluxe),We're gonna make it now (Hold on)
Speak Now (Deluxe),And I can see it
Speak Now (Deluxe),"Yeah, yeah"
Speak Now (Deluxe),I can see it now (See it now)
Speak Now (Deluxe),The way you move is like a full on rainstorm
Speak Now (Deluxe),And I'm a house of cards
Speak Now (Deluxe),You're the kind of reckless
Speak Now (Deluxe),That should send me running
Speak Now (Deluxe),But I kinda know that I won't get far
Speak Now (Deluxe),And you stood there in front of me
Speak Now (Deluxe),Just close enough to touch
Speak Now (Deluxe),Close enough to hope you couldn't see
Speak Now (Deluxe),What I was thinking of
Speak Now (Deluxe),Drop everything now
Speak Now (Deluxe),Meet me in the pouring rain
Speak Now (Deluxe),Kiss me on the sidewalk
Speak Now (Deluxe),Take away the pain
Speak Now (Deluxe),'Cause I see sparks fly whenever you smile
Speak Now (Deluxe),"Get me with those green eyes, baby, as the lights go down"
Speak Now (Deluxe),Give me something that'll haunt me when you're not around
Speak Now (Deluxe),'Cause I see sparks fly whenever you smile
Speak Now (Deluxe),My mind forgets to remind me
Speak Now (Deluxe),You're a bad idea
Speak Now (Deluxe),You touch me once and it's really something
Speak Now (Deluxe),You find I'm even better than you imagined I would be
Speak Now (Deluxe),I'm on my guard for the rest of the world
Speak Now (Deluxe),But with you I know it's no good
Speak Now (Deluxe),And I could wait patiently but I really wish you would
Speak Now (Deluxe),Drop everything now
Speak Now (Deluxe),Meet me in the pouring rain
Speak Now (Deluxe),Kiss me on the sidewalk
Speak Now (Deluxe),Take away the pain
Speak Now (Deluxe),'Cause I see sparks fly whenever you smile
Speak Now (Deluxe),"Get me with those green eyes, baby, as the lights go down"
Speak Now (Deluxe),Give me something that'll haunt me when you're not around
Speak Now (Deluxe),'Cause I see sparks fly whenever you smile
Speak Now (Deluxe),I run my fingers through your hair and watch the lights go wild
Speak Now (Deluxe),Just keep on keeping your eyes on me
Speak Now (Deluxe),It's just wrong enough to make it feel right
Speak Now (Deluxe),And lead me up the staircase
Speak Now (Deluxe),Won't you whisper soft and slow?
Speak Now (Deluxe),"I'm captivated by you, baby, like a firework show"
Speak Now (Deluxe),Drop everything now
Speak Now (Deluxe),Meet me in the pouring rain
Speak Now (Deluxe),Kiss me on the sidewalk
Speak Now (Deluxe),Take away the pain
Speak Now (Deluxe),'Cause I see sparks fly whenever you smile
Speak Now (Deluxe),"Get me with those green eyes, baby, as the lights go down"
Speak Now (Deluxe),Give me something that'll haunt me when you're not around
Speak Now (Deluxe),'Cause I see sparks fly whenever you smile
Speak Now (Deluxe),And the sparks fly
Speak Now (Deluxe),"Oh, baby, smile"
Speak Now (Deluxe),And the sparks fly
Speak Now (Deluxe),I'm so glad you made time to see me
Speak Now (Deluxe),"How's life? Tell me, how's your family?"
Speak Now (Deluxe),I haven't seen them in a while
Speak Now (Deluxe),"You've been good, busier than ever"
Speak Now (Deluxe),"We small talk, work and the weather"
Speak Now (Deluxe),Your guard is up and I know why
Speak Now (Deluxe),Because the last time you saw me
Speak Now (Deluxe),Is still burned in the back of your mind
Speak Now (Deluxe),"You gave me roses, and I left them there to die"
Speak Now (Deluxe),So this is me swallowing my pride
Speak Now (Deluxe),"Standing in front of you, saying I'm sorry for that night"
Speak Now (Deluxe),And I go back to December all the time
Speak Now (Deluxe),It turns out freedom ain't nothing but missing you
Speak Now (Deluxe),Wishing I'd realized what I had when you were mine
Speak Now (Deluxe),"I'd go back to December, turn around and make it alright"
Speak Now (Deluxe),I go back to December all the time
Speak Now (Deluxe),"These days, I haven't been sleeping"
Speak Now (Deluxe),"Staying up, playing back myself leaving"
Speak Now (Deluxe),When your birthday passed and I didn't call
Speak Now (Deluxe),"And I think about summer, all the beautiful times"
Speak Now (Deluxe),I watched you laughing from the passenger side and
Speak Now (Deluxe),Realized I loved you in the fall
Speak Now (Deluxe),And then the cold came
Speak Now (Deluxe),The dark days when fear crept into my mind
Speak Now (Deluxe),"You gave me all your love, and all I gave you was goodbye"
Speak Now (Deluxe),So this is me swallowing my pride
Speak Now (Deluxe),"Standing in front of you, saying I'm sorry for that night"
Speak Now (Deluxe),And I go back to December all the time
Speak Now (Deluxe),It turns out freedom ain't nothing but missing you
Speak Now (Deluxe),Wishing I'd realized what I had when you were mine
Speak Now (Deluxe),"I'd go back to December, turn around and change my own mind"
Speak Now (Deluxe),I go back to December all the time
Speak Now (Deluxe),"I miss your tan skin, your sweet smile"
Speak Now (Deluxe),"So good to me, so right"
Speak Now (Deluxe),And how you held me in your arms that September night
Speak Now (Deluxe),The first time you ever saw me cry
Speak Now (Deluxe),Maybe this is wishful thinking
Speak Now (Deluxe),Probably mindless dreaming
Speak Now (Deluxe),"But if we loved again, I swear I'd love you right"
Speak Now (Deluxe),"I'd go back in time and change it, but I can't"
Speak Now (Deluxe),"So if the chain is on your door, I understand"
Speak Now (Deluxe),But this is me swallowing my pride
Speak Now (Deluxe),"Standing in front of you, saying I'm sorry for that night"
Speak Now (Deluxe),And I go back to December
Speak Now (Deluxe),It turns out freedom ain't nothing but missing you
Speak Now (Deluxe),Wishing I'd realized what I had when you were mine
Speak Now (Deluxe),"I'd go back to December, turn around and make it alright"
Speak Now (Deluxe),"I'd go back to December, turn around and change my own mind"
Speak Now (Deluxe),I go back to December all the time
Speak Now (Deluxe),All the time
Speak Now (Deluxe),I am not the kind of girl
Speak Now (Deluxe),Who should be rudely barging in
Speak Now (Deluxe),On a white veil occasion
Speak Now (Deluxe),But you are not the kind of boy
Speak Now (Deluxe),Who should be marrying the wrong girl
Speak Now (Deluxe),I sneak in and see your friends
Speak Now (Deluxe),And her snotty little family
Speak Now (Deluxe),All dressed in pastel
Speak Now (Deluxe),And she is yelling at a bridesmaid
Speak Now (Deluxe),Somewhere back inside a room
Speak Now (Deluxe),Wearing a gown shaped like a pastry
Speak Now (Deluxe),This is surely not
Speak Now (Deluxe),What you thought it would be
Speak Now (Deluxe),I lose myself in a daydream
Speak Now (Deluxe),Where I stand and say
Speak Now (Deluxe),"Don't say yes, run away now"
Speak Now (Deluxe),I'll meet you when you're out
Speak Now (Deluxe),Of the church at the back door
Speak Now (Deluxe),Don't wait or say a single vow
Speak Now (Deluxe),You need to hear me out
Speak Now (Deluxe),"And they said, ""speak now"""
Speak Now (Deluxe),Fond gestures are exchanged
Speak Now (Deluxe),And the organ starts to play
Speak Now (Deluxe),A song that sounds like a death march
Speak Now (Deluxe),And I am hiding in the curtains
Speak Now (Deluxe),It seems that I was uninvited
Speak Now (Deluxe),By your lovely bride-to-be
Speak Now (Deluxe),She floats down the aisle
Speak Now (Deluxe),Like a pageant queen
Speak Now (Deluxe),But I know you wish it was me
Speak Now (Deluxe),You wish it was me (Don't you)
Speak Now (Deluxe),"Don't say yes, run away now"
Speak Now (Deluxe),I'll meet you when you're out
Speak Now (Deluxe),Of the church at the back door
Speak Now (Deluxe),Don't wait or say a single vow
Speak Now (Deluxe),You need to hear me out
Speak Now (Deluxe),"And they said, ""speak now"""
Speak Now (Deluxe),"Don't say yes, run away now"
Speak Now (Deluxe),I'll meet you when you're out
Speak Now (Deluxe),Of the church at the back door
Speak Now (Deluxe),Don't wait or say a single vow
Speak Now (Deluxe),Your time is running out
Speak Now (Deluxe),"And they said, ""speak now"""
Speak Now (Deluxe),"Ooh, la-da-da-da, oh"
Speak Now (Deluxe),"Ooh, ooh"
Speak Now (Deluxe),(Say a single vow)
Speak Now (Deluxe),I hear the preacher say
Speak Now (Deluxe),"""Speak now or forever hold your peace"""
Speak Now (Deluxe),"There's the silence, there's my last chance"
Speak Now (Deluxe),"I stand up with shaking hands, all eyes on me"
Speak Now (Deluxe),Horrified looks from everyone in the room
Speak Now (Deluxe),But I'm only looking at you
Speak Now (Deluxe),I am not the kind of girl
Speak Now (Deluxe),Who should be rudely barging in
Speak Now (Deluxe),On a white veil occasion
Speak Now (Deluxe),But you are not the kind of boy
Speak Now (Deluxe),Who should be marrying the wrong girl
Speak Now (Deluxe),(Hehe!)
Speak Now (Deluxe),"So don't say yes, run away now"
Speak Now (Deluxe),I'll meet you when you're out
Speak Now (Deluxe),Of the church at the back door
Speak Now (Deluxe),Don't wait or say a single vow
Speak Now (Deluxe),You need to hear me out
Speak Now (Deluxe),"And they said, ""speak now"""
Speak Now (Deluxe),And you say
Speak Now (Deluxe),"""Let's run away now"
Speak Now (Deluxe),I'll meet you when
Speak Now (Deluxe),I'm out of my tux at the back door
Speak Now (Deluxe),"Baby, I didn't say my vows"
Speak Now (Deluxe),So glad you were around when they said
Speak Now (Deluxe),"'Speak now'"""
Speak Now (Deluxe),Long were the nights when
Speak Now (Deluxe),My days once revolved around you
Speak Now (Deluxe),Counting my footsteps
Speak Now (Deluxe),Praying the floor won't fall through... again
Speak Now (Deluxe),My mother accused me of losing my mind
Speak Now (Deluxe),But I swore I was fine
Speak Now (Deluxe),You paint me a blue sky
Speak Now (Deluxe),Then go back and turn it to rain
Speak Now (Deluxe),And I lived in your chess game
Speak Now (Deluxe),But you changed the rules everyday
Speak Now (Deluxe),"Wonderin' which version of you I might get on the phone, tonight"
Speak Now (Deluxe),"Well, I stopped pickin' up and this song is to let you know why"
Speak Now (Deluxe),"Dear John, I see it all now that you're gone"
Speak Now (Deluxe),Don't you think I was too young to be messed with?
Speak Now (Deluxe),The girl in the dress cried the whole way home
Speak Now (Deluxe),I shoulda known
Speak Now (Deluxe),"Well, maybe it's me"
Speak Now (Deluxe),And my blind optimism to blame
Speak Now (Deluxe),Or maybe it's you and your sick need
Speak Now (Deluxe),To give love and take it away
Speak Now (Deluxe),And you'll add my name to your long list of traitors
Speak Now (Deluxe),Who don't understand
Speak Now (Deluxe),And I look back in regret how I ignored when they said
Speak Now (Deluxe),"""Run as fast as you can"""
Speak Now (Deluxe),"Dear John, I see it all now that you're gone"
Speak Now (Deluxe),Don't you think I was too young to be messed with?
Speak Now (Deluxe),The girl in the dress cried the whole way home
Speak Now (Deluxe),"Dear John, I see it all now, it was wrong"
Speak Now (Deluxe),Don't you think nineteen's too young
Speak Now (Deluxe),"To be played by your dark, twisted games"
Speak Now (Deluxe),When I loved you so?
Speak Now (Deluxe),I shoulda known
Speak Now (Deluxe),You are an expert at sorry
Speak Now (Deluxe),And keeping lines blurry
Speak Now (Deluxe),Never impressed by me acing your tests
Speak Now (Deluxe),All the girls that you've run dry have tired lifeless eyes
Speak Now (Deluxe),'Cause you burned them out
Speak Now (Deluxe),But I took your matches
Speak Now (Deluxe),Before fire could catch me
Speak Now (Deluxe),So don't look now
Speak Now (Deluxe),I'm shining like fireworks
Speak Now (Deluxe),"Over your sad empty town, yeah"
Speak Now (Deluxe),"Oh, oh, oh, oh, oh, oh"
Speak Now (Deluxe),"Dear John, I see it all now that you're gone"
Speak Now (Deluxe),Don't you think I was too young to be messed with?
Speak Now (Deluxe),The girl in the dress cried the whole way home
Speak Now (Deluxe),I see it all now that you're gone
Speak Now (Deluxe),Don't you think I was too young to be messed with?
Speak Now (Deluxe),The girl in the dress wrote you a song
Speak Now (Deluxe),You shoulda known
Speak Now (Deluxe),You shoulda known
Speak Now (Deluxe),Don't you think I was too young?
Speak Now (Deluxe),You shoulda known
Speak Now (Deluxe),"You, with your words like knives"
Speak Now (Deluxe),And swords and weapons that you use against me
Speak Now (Deluxe),You have knocked me off my feet again
Speak Now (Deluxe),Got me feeling like I'm nothing
Speak Now (Deluxe),"You, with your voice like nails on a chalkboard"
Speak Now (Deluxe),Calling me out when I'm wounded
Speak Now (Deluxe),"You, picking on the weaker man"
Speak Now (Deluxe),"Well, you can take me down"
Speak Now (Deluxe),With just one single blow
Speak Now (Deluxe),But you don't know what you don't know
Speak Now (Deluxe),"Someday, I'll be living in a big old city"
Speak Now (Deluxe),And all you're ever gonna be is mean
Speak Now (Deluxe),"Someday, I'll be big enough so you can't hit me"
Speak Now (Deluxe),And all you're ever gonna be is mean
Speak Now (Deluxe),Why you gotta be so mean?
Speak Now (Deluxe),"You, with your switching sides"
Speak Now (Deluxe),And your wildfire lies and your humiliation
Speak Now (Deluxe),You have pointed out my flaws again
Speak Now (Deluxe),As if I don't already see them
Speak Now (Deluxe),"I walk with my head down, trying to block you out"
Speak Now (Deluxe),'Cause I'll never impress you
Speak Now (Deluxe),I just wanna feel okay again
Speak Now (Deluxe),I bet you got pushed around
Speak Now (Deluxe),Somebody made you cold
Speak Now (Deluxe),But the cycle ends right now
Speak Now (Deluxe),'Cause you can't lead me down that road
Speak Now (Deluxe),And you don't know what you don't know
Speak Now (Deluxe),"Someday, I'll be living in a big old city"
Speak Now (Deluxe),And all you're ever gonna be is mean
Speak Now (Deluxe),"Someday, I'll be big enough so you can't hit me"
Speak Now (Deluxe),And all you're ever gonna be is mean
Speak Now (Deluxe),Why you gotta be so mean?
Speak Now (Deluxe),And I can see you years from now in a bar
Speak Now (Deluxe),Talking over a football game
Speak Now (Deluxe),With that same big loud opinion
Speak Now (Deluxe),But nobody's listening
Speak Now (Deluxe),Washed up and ranting about the same old bitter things
Speak Now (Deluxe),Drunk and grumbling on about how I can't sing
Speak Now (Deluxe),But all you are is mean
Speak Now (Deluxe),All you are is mean
Speak Now (Deluxe),"And a liar, and pathetic, and alone in life"
Speak Now (Deluxe),"And mean, and mean, and mean, and mean"
Speak Now (Deluxe),"But someday, I'll be living in a big old city"
Speak Now (Deluxe),"And all you're ever gonna be is mean, yeah"
Speak Now (Deluxe),"Someday, I'll be big enough so you can't hit me"
Speak Now (Deluxe),And all you're ever gonna be is mean
Speak Now (Deluxe),Why you gotta be so mean?
Speak Now (Deluxe),"Someday, I'll be living in a big old city"
Speak Now (Deluxe),(Why you gotta be so mean?)
Speak Now (Deluxe),And all you're ever gonna be is mean
Speak Now (Deluxe),(Why you gotta be so mean?)
Speak Now (Deluxe),"Someday, I'll be big enough so you can't hit me"
Speak Now (Deluxe),(Why you gotta be so mean?)
Speak Now (Deluxe),And all you're ever gonna be is mean
Speak Now (Deluxe),Why you gotta be so mean?
Speak Now (Deluxe),"I used to think one day, we'd tell the story of us"
Speak Now (Deluxe),"How we met, and the sparks flew instantly"
Speak Now (Deluxe),"And people would say, they're the lucky ones"
Speak Now (Deluxe),I used to know my place was a spot next to you
Speak Now (Deluxe),Now I'm searching the room for an empty seat
Speak Now (Deluxe),"'Cause lately, I don't even know what page you're on"
Speak Now (Deluxe),"Oh, a simple complication"
Speak Now (Deluxe),Miscommunications lead to fallout
Speak Now (Deluxe),So many things that I wish you knew
Speak Now (Deluxe),"So many walls up, I can't break through"
Speak Now (Deluxe),Now I'm standing alone in a crowded room
Speak Now (Deluxe),And we're not speaking
Speak Now (Deluxe),And I'm dying to know
Speak Now (Deluxe),Is it killing you like it's killing me?
Speak Now (Deluxe),"Yeah, I don't know what to say"
Speak Now (Deluxe),Since the twist of fate when it all broke down
Speak Now (Deluxe),And the story of us looks a lot like a tragedy now
Speak Now (Deluxe),Next chapter
Speak Now (Deluxe),How'd we end up this way?
Speak Now (Deluxe),See me nervously pulling at my clothes and trying to look busy
Speak Now (Deluxe),And you're doing your best to avoid me
Speak Now (Deluxe),"I'm starting to think one day, I'll tell the story of us"
Speak Now (Deluxe),How I was losing my mind when I saw you here
Speak Now (Deluxe),But you held your pride like you should've held me
Speak Now (Deluxe),"Oh, I'm scared to see the ending"
Speak Now (Deluxe),Why are we pretending this is nothing?
Speak Now (Deluxe),"I'd tell you I miss you, but I don't know how"
Speak Now (Deluxe),I've never heard silence quite this loud
Speak Now (Deluxe),Now I'm standing alone in a crowded room
Speak Now (Deluxe),And we're not speaking
Speak Now (Deluxe),And I'm dying to know
Speak Now (Deluxe),Is it killing you like it's killing me?
Speak Now (Deluxe),"Yeah, and I don't know what to say"
Speak Now (Deluxe),"Since the twist of fate, when it all broke down"
Speak Now (Deluxe),And the story of us looks a lot like a tragedy now
Speak Now (Deluxe),This is looking like a contest
Speak Now (Deluxe),Of who can act like they care less
Speak Now (Deluxe),But I liked it better when you were on my side
Speak Now (Deluxe),The battle's in your hands now
Speak Now (Deluxe),But I would lay my armor down
Speak Now (Deluxe),If you say you'd rather love than fight
Speak Now (Deluxe),So many things that you wish I knew
Speak Now (Deluxe),But the story of us might be ending soon
Speak Now (Deluxe),Now I'm standing alone in a crowded room
Speak Now (Deluxe),And we're not speaking
Speak Now (Deluxe),And I'm dying to know
Speak Now (Deluxe),Is it killing you like it's killing me?
Speak Now (Deluxe),"Yeah, and I don't know what to say"
Speak Now (Deluxe),"Since the twist of fate, when it all broke down"
Speak Now (Deluxe),"And the story of us looks a lot like a tragedy now, now, now"
Speak Now (Deluxe),And we're not speaking
Speak Now (Deluxe),And I'm dying to know
Speak Now (Deluxe),"Is it killing you like it's killing me, yeah?"
Speak Now (Deluxe),I don't know what to say since the twist of fate
Speak Now (Deluxe),'Cause we're going down
Speak Now (Deluxe),And the story of us looks a lot like a tragedy now
Speak Now (Deluxe),The End
Speak Now (Deluxe),Your little hand's wrapped around my finger
Speak Now (Deluxe),And it's so quiet in the world tonight
Speak Now (Deluxe),Your little eyelids flutter cause you're dreaming
Speak Now (Deluxe),"So I tuck you in, turn on your favorite night light"
Speak Now (Deluxe),"To you everything's funny, you got nothing to regret"
Speak Now (Deluxe),"I'd give all I have, honey"
Speak Now (Deluxe),If you could stay like that
Speak Now (Deluxe),"Oh darling, don't you ever grow up"
Speak Now (Deluxe),"Don't you ever grow up, just stay this little"
Speak Now (Deluxe),"Oh darling, don't you ever grow up"
Speak Now (Deluxe),"Don't you ever grow up, it could stay this simple"
Speak Now (Deluxe),"I won't let nobody hurt you, won't let no one break your heart"
Speak Now (Deluxe),And no one will desert you
Speak Now (Deluxe),"Just try to never grow up, never grow up"
Speak Now (Deluxe),You're in the car on the way to the movies
Speak Now (Deluxe),And you're mortified your mom's dropping you off
Speak Now (Deluxe),"At fourteen, there's just so much you can't do"
Speak Now (Deluxe),And you can't wait to move out someday and call your own shots
Speak Now (Deluxe),But don't make her drop you off around the block
Speak Now (Deluxe),Remember that she's getting older too
Speak Now (Deluxe),And don't lose the way that you dance around in your pj's getting ready for school
Speak Now (Deluxe),"Oh darling, don't you ever grow up"
Speak Now (Deluxe),"Don't you ever grow up, just stay this little"
Speak Now (Deluxe),"Oh darling, don't you ever grow up"
Speak Now (Deluxe),"Don't you ever grow up, it could stay this simple"
Speak Now (Deluxe),"No one's ever burned you, nothing's ever left you scarred"
Speak Now (Deluxe),"And even though you want to, just try to never grow up"
Speak Now (Deluxe),Take pictures in your mind of your childhood room
Speak Now (Deluxe),Memorize what it sounded like when your dad gets home
Speak Now (Deluxe),"Remember the footsteps, remember the words said"
Speak Now (Deluxe),And all your little brother's favorite songs
Speak Now (Deluxe),I just realized everything I have is someday gonna be gone
Speak Now (Deluxe),So here I am in my new apartment
Speak Now (Deluxe),"In a big city, they just dropped me off"
Speak Now (Deluxe),It's so much colder than I thought it would be
Speak Now (Deluxe),So I tuck myself in and turn my night light on
Speak Now (Deluxe),Wish I'd never grown up
Speak Now (Deluxe),I wish I'd never grown up
Speak Now (Deluxe),"Oh, I don't wanna grow up, wish I'd never grown up"
Speak Now (Deluxe),I could still be little
